country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Albania,1987,male,15-24 years,21,312900,,2156624900
Albania,1987,male,35-54 years,16,308000,,2156624900
Albania,1987,female,15-24 years,14,289700,,2156624900
Albania,1987,male,75+ years,1,21800,,2156624900
Albania,1987,male,25-34 years,9,274300,,2156624900
Albania,1987,female,75+ years,1,35600,,2156624900
Albania,1987,female,35-54 years,6,278800,,2156624900
Albania,1987,female,25-34 years,4,257200,,2156624900
Albania,1987,male,55-74 years,1,137500,,2156624900
Albania,1987,female,5-14 years,,311000,,2156624900
Albania,1987,female,55-74 years,,144600,,2156624900
Albania,1987,male,5-14 years,,338200,,2156624900
Albania,1988,female,75+ years,2,36400,,2126000000
Albania,1988,male,15-24 years,17,319200,,2126000000
Albania,1988,male,75+ years,1,22300,,2126000000
Albania,1988,male,35-54 years,14,314100,,2126000000
Albania,1988,male,55-74 years,4,140200,,2126000000
Albania,1988,female,15-24 years,8,295600,,2126000000
Albania,1988,female,55-74 years,3,147500,,2126000000
Albania,1988,female,25-34 years,5,262400,,2126000000
Albania,1988,male,25-34 years,5,279900,,2126000000
Albania,1988,female,35-54 years,4,284500,,2126000000
Albania,1988,female,5-14 years,,317200,,2126000000
Albania,1988,male,5-14 years,,345000,,2126000000
Albania,1989,male,75+ years,2,22500,,2335124988
Albania,1989,male,25-34 years,18,283600,,2335124988
Albania,1989,male,35-54 years,15,318400,,2335124988
Albania,1989,male,55-74 years,6,142100,,2335124988
Albania,1989,male,15-24 years,12,323500,,2335124988
Albania,1989,female,35-54 years,7,288600,,2335124988
Albania,1989,female,15-24 years,5,299900,,2335124988
Albania,1989,female,25-34 years,2,266300,,2335124988
Albania,1989,female,55-74 years,1,149600,,2335124988
